file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
crawl/action/the-assignment.fountain,RAMIREZ,0,0,false,false,false,0
crawl/sci-fi/maverick-pdf.fountain,MAVERICK,0,0,false,false,false,0
crawl/sci-fi/equity-pdf.fountain,NAOMI,0,0,false,false,false,0
crawl/sci-fi/slow-west-pdf.fountain,JAY,0,0,false,false,false,0
crawl/action/the-bourne-identity.fountain,BOURNE,0,0,false,false,false,0.5882352941176472
crawl/crime/the-sixth-sense.fountain,MALCOLM,0,0,false,false,false,0
crawl/action/pearl-harbor-html.fountain,RAFE,0,0,false,false,false,0
Looney_Tunes_Back_In_Action.fountain.txt,DJ,0,0,false,false,false,0
crawl/horror/freddy-s-dead-the-final-nightmare.fountain,JACOB,0,0,false,false,false,0
sing-2016.fountain,BUSTER,0,1,true,false,false,0
crawl/crime/8-millimeter.fountain,WELLES,0,0,false,false,false,0
crawl/sci-fi/the-manchurian-candidate-pdf.fountain,MARCO,0,0,false,false,false,0
crawl/horror/possession-pdf.fountain,ROLAND,0,0,false,false,false,0.4166666666666663
crawl/action/spider-man.fountain,PETER,0,0,false,false,false,0
crawl/action/the-majestic.fountain,PETE,0,0,false,false,false,0
boxtrolls-the-matched.fountain,EGGS,0,0,false,false,false,0
crawl/sci-fi/kill-your-darlings-pdf.fountain,ALLEN,0,0,false,false,false,0
crawl/sci-fi/the-diving-bell-and-the-butterfly-le-scaphandre-et-le-papill.fountain,JEAN-DO'S VOICE,0,0,false,false,false,0
crawl/horror/ali-html.fountain,ALI,0,0,false,false,false,0
crawl/sci-fi/the-bourne-ultimatum-pdf.fountain,VOSEN,0,0,false,false,false,0.10638297872340385
crawl/fantasy/american-pie.fountain,KEVIN,0,0,false,false,false,0
crawl/fantasy/out-of-sight.fountain,FOLEY,0,0,false,false,false,0
isle-of-dogs-2018.fountain,CHIEF,0,0,false,false,false,0.357142857142857
crawl/sci-fi/el-cantante-pdf.fountain,HECTOR,0,0,false,false,false,0
crawl/action/the-believer.fountain,DANNY,0,0,false,false,false,0
crawl/fantasy/very-bad-things.fountain,FISHER,0,0,false,false,false,0
crawl/comedy/return-to-me.fountain,BOB,0,0,false,false,false,0
crawl/horror/knocked-up-html.fountain,BEN,0,0,false,false,false,0
crawl/sci-fi/collateral-pdf.fountain,VINCENT,0,0,false,false,false,0
how-to-train-your-dragon-the-hidden-world-2019.fountain,HICCUP,0,0,false,false,false,0
crawl/crime/fracture-html.fountain,WILLY,0,0,false,false,false,0
crawl/sci-fi/birth-of-a-nation-pdf.fountain,NAT,0,0,false,false,false,0.9999999999999998
crawl/action/ticker.fountain,REILLY,0,0,false,false,false,0
Anastasia.fountain.txt,ANYA,0,0,false,false,false,0
crawl/action/terminator-2-judgement-day-html.fountain,JOHN,0,0,false,false,false,0
crawl/sci-fi/cradle-to-the-grave-pdf.fountain,FAIT,1,0,true,false,false,0
off-season.fountain,GRETA,0,0,false,false,false,0
crawl/action/saving-private-ryan.fountain,MILLER,0,0,false,false,false,0
crawl/horror/monster-s-ball-pdf.fountain,HANK,0,0,false,false,false,0
crawl/sci-fi/catwoman-pdf.fountain,PATIENCE,0,0,false,false,false,0
crawl/action/the-bijou.fountain,PETE,0,0,false,false,false,0
crawl/crime/pi.fountain,MAX,0,0,false,false,false,2.5
crawl/sci-fi/halloween-resurrection-pdf.fountain,SARA,0,0,false,false,false,0
crawl/action/the-salton-sea.fountain,DANNY,0,0,false,false,false,0
crawl/adventure/feast-early-draft.fountain,HEROINE,0,0,false,false,false,0
